"DUT_ID","Report_info_ID","Serial_No","Biomedical_ID","Location","Condition_of_item","ElectricalSafety","Performance","ActiveStatus","CreatedDate"
"1","13","RHWMS2/106/39","A/NI/RW/02","NICU","good","False","True","",""
"2","14","RHWMS2/106/39","A/NI/RW/02","NICU","NO visible Damage in working order","False","True","",""
"3","27","fgf","ccvc","ooioi","cvcv","True","True","",""
"4","28","190879","asd","CPOW","No visible damage","False","True","",""
"5","29","IV35591","ddd","CPOW","No visible damage and in working order","False","True","",""
"6","30","LOIL5278","A/SI/MPM/07","SICU","No visible damage and in working order","True","True","",""
"7","33","LOIL5278","A/SI/MPM/07","SICU","No visible damage and in working order","True","False","",""
"8","34","LOIL5278","A/SI/MPM/07","SICU","No visible damage and in working order","True","False","",""
"9","35","RHWMS2/106/39","A/NI/RW/02","NICU","No visible damage and in working order","False","True","",""
"10","36","4006A87673","MT-P1","Cauality","No visible asamage","True","True","",""
"11","37","4006A87673","MT-P1","Cauality","No visible asamage","True","False","",""
"12","38","LOIL5278","A/SI/MPM/07","SICU","No visible asamage","True","True","",""
"13","39","222","ddd","sicu","good","True","True","",""
"14","39","ffdfd","jjhjhjh","lklk","lklklk","False","False","",""
"15","41","bvbv","rdrdf","hjh","jjh","True","True","",""
"16","43","LOIL5278","A/SI/MPM/07","SICU","No visible damage","True","True","",""
"17","44","ff344","BMH-1","casuality","No visible damage","True","True","",""
"18","46","LOIL5278","A/SI/MPM/07","SICU","No visible damage","True","True","",""
"19","47","fdfd","gfgfgf","gfgf","gfgf","False","True","",""
"20","48","cvcv","vbvb","gfgf","lkk","False","True","",""
"21","49","kjkj","hghg","gfgfg","hghg","False","True","",""
"22","50","uyuy","vcvc","ghg","gfgf","False","True","",""
"23","51","xcfx","vcv","gcc","hghg","False","True","",""
"24","52","kjkj","ccvc","vcvc","fgf","False","True","",""
"25","53","ddfd","esee","dfdfd","dfd","False","True","",""
"26","54","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"27","55","LOIL5278","BMH-1","casuality","No visible damage","False","True","",""
"28","56","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"29","57","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"30","58","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"31","59","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"32","60","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"33","61","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"34","62","LOIL5278","a/si/mpm/07","casuality","hghg","False","True","",""
"35","63","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"36","64","LOIL5278","BMH-1","gfgf","gfgf","False","True","",""
"37","65","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"38","66","ddfd","a/si/mpm/07","SICU","No visible damage","False","True","",""
"39","67","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"40","68","LOIL5278","a/si/mpm/07","SICU","No visible damage","False","True","",""
"41","69","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"42","70","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"43","71","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","True","",""
"44","71","LOIL5278","a/si/mpm/07","casuality","No visible damage","False","False","",""
"45","72","LOIL5278","BMH-1","casuality","No visible damage","False","True","",""
"46","73","ddfd","BMH-1","casuality","No visible damage","False","True","",""
"47","74","123","wwe","SICU","No visible damage","False","True","",""
"48","75","LOIL5278","a/si/mpm/07","vcvc","No visible damage","False","True","",""
"49","76","LOIL5278","wwe","SICU","No visible damage","False","True","",""
"50","76","LOIL5278","a/si/mpm/07","SICU","No Visible Damage","False","False","",""
"51","76","LOIL5278","a/si/mpm/07","SICU","No Visible Damage","False","False","",""
"52","76","LOIL5278","a/si/mpm/07","SICU","No Visible Damage","False","False","",""
"53","76","LOIL5278","a/si/mpm/07","SICU","No Visible Damage","True","False","",""
"54","76","LOIL5278","a/si/mpm/07","SICU","No Visible Damage","False","True","",""
"55","77","LOIL5278","a/si/mpm/07","casuality","No Visible Damage","False","True","",""
"56","78","LOIL5278","a/si/mpm/07","vcvc","No Visible Damage","False","True","",""
"57","79","LOIL5278","a/si/mpm/07","SICU","No Visible Damage","False","True","",""
"58","81","12345","123","SICU","No Visible Damage","True","True","",""
"59","82","12345","123","SICU","No Visible Damage","True","True","",""
"60","83","12345","123","Casuality","No Visible Damage","True","True","",""
"61","84","866667","ihjkhjh","Casuality","No Visible Damage","False","True","",""
"62","85","767676","gjhjh","SICU","No Visible Damage","False","True","",""
"63","86","7676","ghjhjh","Casuality","No Visible Damage","True","True","",""
"64","87","6676","fgfgf","SICU","No Visible Damage","False","True","",""
"65","88","6676","667676","hghghg","No Visible Damage","False","True","",""
"66","89","12345","123","Casuality","No Visible Damage","False","True","",""
"67","90","123","433","SICU","No Visible Damage","False","True","",""
"68","91","12345","123","SICU","No Visible Damage","False","True","",""
"69","92","232323","43343","SICU","No Visible Damage","False","True","",""
"70","93","12345","443","Casuality","No Visible Damage","False","True","",""
"71","94","12345","443","Casuality","No Visible Damage","False","True","",""
"72","95","12345","443","Casuality","No Visible Damage","False","True","",""
"73","96","12345","443","Casuality","No Visible Damage","False","True","",""
"74","97","12345","443","Casuality","No Visible Damage","False","True","",""
"75","98","12345","443","Casuality","No Visible Damage","False","True","",""
"76","99","111","1111","Casuality","No Visible Damage","False","True","",""
"77","100","111","1111","Casuality","No Visible Damage","False","True","",""
"78","101","12345","1111","Casuality","No Visible Damage","False","True","",""
"79","102","12345","1111","Casuality","No Visible Damage","False","True","",""
"80","103","12345","1111","Casuality","No Visible Damage","True","True","",""
"81","104","12345","1111","Casuality","No Visible Damage","False","True","",""
"82","105","111","1111","Casuality","No Visible Damage","False","True","",""
"83","106","12345","1111","Casuality","No Visible Damage","False","True","",""
"84","107","12345","1111","Casuality","No Visible Damage","False","True","",""
"85","108","12345","1111","Casuality","No Visible Damage","False","True","",""
"86","109","12345","443","Casuality","No Visible Damage","False","True","",""
"87","110","12345","443","Casuality","No Visible Damage","False","True","",""
"88","111","123","BME","ICU","No Visible Damage","True","True","",""
"89","112","333","333","nicu","No Visible Damage","True","True","",""
"90","113","66565","fd454","casuality","No Visible Damage","False","True","",""
"91","114","111","BME","NICU","No Visible Damage","True","True","",""
"92","115","999","BME","NICU","No Visible Damage","False","True","",""
"93","116","232323","667676","SICU","No Visible Damage","False","True","",""
"94","117","21","10","ICU","No Visible Damage","False","True","",""
"95","118","321","34","ICU","No Visible Damage","False","True","",""
"96","119","123","BME","ICU","No Visible Damage","True","True","",""
"97","120","421","BME","NICU","No Visible Damage","True","True","",""
"98","121","321","BME","CCU","No Visible Damage","True","True","",""
"99","122","521","BME","OP","No Visible Damage","True","True","",""
"100","123","111","BME","IP","No Visible Damage","True","True","",""
"101","124","222","BME","DIALYSIS","No Visible Damage","True","True","",""
"102","125","333","BME","VICU","No Visible Damage","True","True","",""
"103","126","12345","1111","Casuality","No Visible Damage","True","False","",""
"104","127","12345","1111","Casuality","No Visible Damage","False","True","",""
"105","128","777","777","iiui","No Visible Damage","True","True","",""
"106","129","66565","fd454","casuality","No Visible Damage","False","True","",""
"107","130","123","BME","ICU","No Visible Damage","False","True","",""
"108","131","66565","fd454","casuality","No Visible Damage","False","True","",""
"109","132","66565","fd454","casuality","No Visible Damage","False","True","",""
"110","133","111","BME","ICU","No Visible Damage","False","True","",""
"111","134","66565","fd454","casuality","No Visible Damage","False","True","",""
"112","135","123","BME","ICU","No Visible Damage","False","True","",""
"113","136","111","BME","ICU","No Visible Damage","False","True","",""
"114","137","123","BME","ICU","No Visible Damage","False","True","",""
"115","138","123","BME","ICU","No Visible Damage","True","False","",""
"116","139","132","BME","VICU","No Visible Damage","True","False","",""
"117","140","ss","ss","ss","No Visible Damage","True","True","",""
"118","141","qq","qqq","qq","No Visible Damage","True","True","",""
"119","142","232323","433","SICU","No Visible Damage","False","True","",""
"120","143","12345","1111","Casuality","No Visible Damage","False","True","",""
"121","144","12345","1111","Casuality","No Visible Damage","True","False","",""
"122","145","866667","43343","SICU","No Visible Damage","True","False","",""
"123","146","12345","123","SICU","No Visible Damage","False","True","",""
"124","147","kk","jj","mnn","No Visible Damage","True","True","",""
"125","148","nn","n","nn","No Visible Damage","True","True","",""
"126","149","8889","999","LLLL0CATE","No Visible Damage","True","True","",""
"127","150","61923","61923","sicu","No Visible Damage","True","False","",""
"128","151","kk","mm","mm","No Visible Damage","True","True","",""
"129","152","222","1234","sicu","No Visible Damage","True","True","",""
"130","153","MM","M","mm","No Visible Damage","True","True","",""
"131","154","777","999","999","No Visible Damage","True","True","",""
"132","155","MNN",",M","MM","No Visible Damage","True","True","",""
"133","156","NN","mm","mm","No Visible Damage","True","True","",""
"134","157","66565","fd454","casuality","No Visible Damage","False","True","",""
"135","158","8889","9990","LABOUR ROOM","No Visible Damage","True","True","",""
"136","159","h1233","54454","SICU","No Visible Damage","True","True","",""
"137","160","0455600548","A/PATH/WB01","HC","No Visible Damage","False","True","",""
"138","161","NA","AIMS/PATH/FG/10","HC","No Visible Damage","False","True","",""
"139","162","NA","NA","NA","No Visible Damage","False","True","",""
"140","163","NA","A/LAB/WB/01","CENTRAL LAB","No Visible Damage","False","True","",""
"141","164","NA","NA","CENTRAL LAB","No Visible Damage","False","True","",""
"142","165","070612509","A/LAB/MS/01","casuality","No Visible Damage","False","True","",""
"143","166","FLLC/-3890","A/BC/CF/02","casuality","No Visible Damage","False","True","",""
"144","167","IALC-231","A/LAB/CF/04","sdadad","No Visible Damage","False","True","",""
"145","168","KLLO-8665","NA","CENTRAL LAB","No Visible Damage","True","True","",""
"146","169","NA","HTR-47","CENTRAL LAB","No Visible Damage","True","False","",""
"147","170","NA","NA","BIOCHEMISTRY","No Visible Damage","False","True","",""
"148","171","NA","A/BC/RM/01","BIOCHEMISTRY","No Visible Damage","True","False","",""
"149","172","NA","A/BC/RM/01","BIOCHEMISTRY","No Visible Damage","True","False","",""
"150","173","NA","A/BC/RM/01","BIOCHEMISTRY","No Visible Damage","True","False","",""
