"ElectID","Applicable_Spec","Standard","ActiveStatus","CreatedDate"
"1","IEC 1","Alternative","",""
"2","IEC 6001","IEC Alternative","",""
"3","IEC699","alternativeghg","",""
"4","IEC699","Multipara","",""
"5","IEC 6001","Alternative","",""
"6","IEC 6001","Alternative","",""
"7","IEC 6001","Alternative","",""
"8","IEC 6001","Alternative","",""
"9","IEC699","Multipara","",""
"10","IEC 6001","Alternative","",""
"11","IEC 6001","asd","",""
"12","IEC6001","Multipara","",""
"13","IEC-62353","ALTERNATIVE","",""
"14","hh","jj","",""
"15","IEC-62353","ALTERNATIVE","",""
"16","IEC-62353","ALTERNATIVE","",""
"17","IEC-62353","ALTERNATIVE","",""
"18","IEC-62353","ALTERNATIVE","",""
"19","IEC-62353","ALTERNATIVE","",""
"20","IEC-62353","ALTERNATIVE","",""
"21","IEC-62353","ALTERNATIVE","",""
"22","IEC-62353","ALTERNATIVE","",""
"23","IEC6001","Anasthesia machine","",""
"24","IEC-62353","ALTERNATIVE","",""
"25","IEC-62353","ALTERNATIVE","",""
"26","IEC6001","Anasthesia machine","",""
"27","IEC 6001","Alternative","",""
"28","IEC-62353","ALTERNATIVE","",""
"29","IEC-62353","ALTERNATIVE","",""
"30","IEC-62353","ALTERNATIVE","",""
"31","IEC-62353","ALTERNATIVE","",""
"32","IEC-62353","ALTERNATIVE","",""
"33","IEC-62353","ALTERNATIVE","",""
"34","IEC-62353","ALTERNATIVE","",""
"35","IEC-62353","ALTERNATIVE","",""
"36","IEC-62353","ALTERNATIVE","",""
"37","IEC-62353","ALTERNATIVE","",""
"38","IEC-62353","ALTERNATIVE","",""
"39","IEC-62353","ALTERNATIVE","",""
"40","IEC-62353","ALTERNATIVE","",""
"41","IEC-62353","62353","",""
"42","IEC-62353","62353","",""
"43","IEC-62353","ALTERNATIVE","",""
"44","IEC-62353","ALTERNATIVE","",""
"45","IEC-62353","ALTERNATIVE","",""
"46","IEC-62353","ALTERNATIVE","",""
"47","IEC-62353","ALTERNATIVE","",""
"48","IEC-62353","ALTERNATIVE","",""
"49","IEC-62353","ALTERNATIVE","",""
"50","IEC 62353","ALTERNATIVE","",""
"51","IEC 62353","ALTERNATIVE","",""
"52","62353","ALTERNATIVE","",""
"53","62353","ALTERNATIVE","",""
"54","62353","ALTERNATIVE","",""
"55","62353","ALTERNATIVE","",""
"56","62353","ALTERNATIVE","",""
"57","62353","ALTERNATIVE","",""
"58","62353","ALTERNATIVE","",""
"59","62353","ALTERNATIVE","",""
"60","62353","ALTERNATIVE","",""
"61","62353","ALTERNATIVE","",""
"62","62353","ALTERNATIVE","",""
"63","62353","ALTERNATIVE","",""
"64","62353","ALTERNATIVE","",""
"65","IEC-62353","ALTERNATIVE","",""
"66","62353","ALTERNATIVE","",""
"67","62353","ALTERNATIVE","",""
"68","62353","ALTERNATIVE","",""
"69","62353","ALTERNATIVE","",""
"70","62353","ALTERNATIVE","",""
"71","62353","ALTERNATIVE","",""
"72","62353","ALTERNATIVE","",""
"73","62353","ALTERNATIVE","",""
"74","62353","ALTERNATIVE","",""
"75","62353","ALTERNATIVE","",""
"76","62353","ALTERNATIVE","",""
"77","62353","ALTERNATIVE","",""
"78","IEC-62353","ALTERNATIVE","",""
"79","62353","ALTERNATIVE","",""
"80","62353","ALTERNATIVE","",""
"81","62353","ALTERNATIVE","",""
"82","IEC-62353","ALTERNATIVE","",""
"83","62353","ALTERNATIVE","",""
"84","62353","ALTERNATIVE","",""
"85","62353","ALTERNATIVE","",""
"86","62353","ALTERNATIVE","",""
"87","IEC-62353","ALTERNATIVE","",""
"88","IEC-62353","ALTERNATIVE","",""
"89","62353","ALTERNATIVE","",""
"90","62353","ALTERNATIVE","",""
"91","62353","ALTERNATIVE","",""
"92","62353","ALTERNATIVE","",""
"93","62353","ALTERNATIVE","",""
"94","IEC-62353","ALTERNATIVE","",""
"95","IEC-62353","ALTERNATIVE","",""
"96","IEC-62353","ALTERNATIVE","",""
"97","IEC-62353","ALTERNATIVE","",""
"98","IEC-62353","ALTERNATIVE","",""
"99","IEC-62353","ALTERNATIVE","",""
"100","IEC-62353","ALTERNATIVE","",""
"101","IEC-62353","ALTERNATIVE","",""
"102","62353","ALTERNATIVE","",""
"103","IEC-62353","ALTERNATIVE","",""
"104","62353","ALTERNATIVE","",""
"105","62353","ALTERNATIVE","",""
"106","62353","ALTERNATIVE","",""
"107","IEC-62353","ALTERNATIVE","",""
"108","62353","ALTERNATIVE","",""
"109","62353","ALTERNATIVE","",""
"110","IEC-62353","ALTERNATIVE","",""
"111","IEC-62353","ALTERNATIVE","",""
"112","IEC-62353","ALTERNATIVE","",""
"113","62353","ALTERNATIVE","",""
"114","IEC-62353","ALTERNATIVE","",""
"115","62353","ALTERNATIVE","",""
"116","IEC-62353","ALTERNATIVE","",""
"117","62353","ALTERNATIVE","",""
"118","IEC-62353","ALTERNATIVE","",""
"119","62353","ALTERNATIVE","",""
"120","62353","ALTERNATIVE","",""
"121","IEC-62353","ALTERNATIVE","",""
"122","62353","ALTERNATIVE","",""
"123","62353","ALTERNATIVE","",""
"124","62353","ALTERNATIVE","",""
"125","62353","ALTERNATIVE","",""
"126","62353","ALTERNATIVE","",""
"127","IEC-62353","ALTERNATIVE","",""
"128","IEC-62353","ALTERNATIVE","",""
"129","62353","ALTERNATIVE","",""
"130","62353","ALTERNATIVE","",""
"131","IEC-62353","ALTERNATIVE","",""
"132","IEC-62353","ALTERNATIVE","",""
"133","IEC-62353","ALTERNATIVE","",""
"134","IEC-62353","ALTERNATIVE","",""
"135","IEC-62353","ALTERNATIVE","",""
"136","IEC-62353","ALTERNATIVE","",""
"137","IEC-62353","ALTERNATIVE","",""
"138","IEC-62353","ALTERNATIVE","",""
"139","IEC-62353","ALTERNATIVE","",""
"140","IEC-62353","ALTERNATIVE","",""
"141","IEC-62353","ALTERNATIVE","",""
"142","IEC-62353","ALTERNATIVE","",""
"143","IEC-62353","ALTERNATIVE","",""
"144","IEC-62353","ALTERNATIVE","",""
"145","IEC-62353","ALTERNATIVE","",""
"146","62353","ALTERNATIVE","",""
"147","IEC-62353","ALTERNATIVE","",""
"148","IEC-62353","ALTERNATIVE","",""
"149","62353","ALTERNATIVE","",""
"150","62353","ALTERNATIVE","",""
"151","62353","ALTERNATIVE","",""
"152","62353","ALTERNATIVE","",""
"153","62353","ALTERNATIVE","",""
"154","62353","ALTERNATIVE","",""
"155","62353","ALTERNATIVE","",""
"156","IEC-62353","ALTERNATIVE","",""
"157","IEC-62353","ALTERNATIVE","",""
"158","IEC-62353","ALTERNATIVE","",""
"159","IEC-62353","ALTERNATIVE","",""
"160","IEC-62353","ALTERNATIVE","",""
"161","IEC-62353","ALTERNATIVE","",""
"162","IEC-62353","ALTERNATIVE","",""
"163","IEC-62353","ALTERNATIVE","",""
"164","IEC-62353","ALTERNATIVE","",""
"165","IEC-62353","ALTERNATIVE","",""
"166","IEC-62353","ALTERNATIVE","",""
"167","IEC-62353","ALTERNATIVE","",""
"168","IEC-62353","ALTERNATIVE","",""
"169","IEC-62353","ALTERNATIVE","",""
"170","IEC-62353","ALTERNATIVE","",""
"171","IEC-62353","ALTERNATIVE","",""
"172","IEC-62353","ALTERNATIVE","",""
"173","IEC-62353","ALTERNATIVE","",""
"174","IEC-62353","ALTERNATIVE","",""
"175","IEC-62353","ALTERNATIVE","",""
"176","IEC-62353","ALTERNATIVE","",""
"177","IEC-62353","ALTERNATIVE","",""
"178","IEC-62353","ALTERNATIVE","",""
"179","IEC-62353","ALTERNATIVE","",""
"180","IEC-62353","ALTERNATIVE","",""
"181","IEC-62353","ALTERNATIVE","",""
"182","IEC-62353","ALTERNATIVE","",""
"183","IEC-62353","ALTERNATIVE","",""
"184","IEC-62353","ALTERNATIVE","",""
"185","IEC-62353","ALTERNATIVE","",""
"186","IEC-62353","ALTERNATIVE","",""
"187","IEC-62353","ALTERNATIVE","",""
"188","IEC-62353","ALTERNATIVE","",""
"189","IEC-62353","ALTERNATIVE","",""
"190","IEC-62353","ALTERNATIVE","",""
"191","IEC-62353","ALTERNATIVE","",""
"192","IEC-62353","ALTERNATIVE","",""
"193","IEC-62353","ALTERNATIVE","",""
"194","IEC-62353","ALTERNATIVE","",""
"195","IEC-62353","ALTERNATIVE","",""
"196","IEC-62353","ALTERNATIVE","",""
"197","IEC-62353","ALTERNATIVE","",""
"198","IEC-62353","ALTERNATIVE","",""
"199","IEC-62353","ALTERNATIVE","",""
"200","IEC-62353","ALTERNATIVE","",""
"201","IEC-62353","ALTERNATIVE","",""
"202","IEC-62353","ALTERNATIVE","",""
"203","IEC-62353","ALTERNATIVE","",""
"204","IEC-62353","ALTERNATIVE","",""
"205","IEC-62353","ALTERNATIVE","",""
"206","IEC-62353","ALTERNATIVE","",""
"207","IEC-62353","ALTERNATIVE","",""
"208","IEC-62353","ALTERNATIVE","",""
"209","IEC-62353","ALTERNATIVE","",""
"210","IEC-62353","ALTERNATIVE","",""
"211","IEC-62353","ALTERNATIVE","",""
"212","IEC-62353","ALTERNATIVE","",""
"213","IEC-62353","ALTERNATIVE","",""
"214","IEC-62353","ALTERNATIVE","",""
"215","IEC-62353","ALTERNATIVE","",""
"216","IEC-62353","ALTERNATIVE","",""
"217","IEC-62353","ALTERNATIVE","",""
"218","IEC-62353","ALTERNATIVE","",""
"219","IEC-62353","ALTERNATIVE","",""
"220","IEC-62353","ALTERNATIVE","",""
"221","IEC-62353","ALTERNATIVE","",""
"222","IEC-62353","ALTERNATIVE","",""
"223","IEC-62353","ALTERNATIVE","",""
"224","IEC-62353","ALTERNATIVE","",""
"225","IEC-62353","ALTERNATIVE","",""
"226","IEC-62353","ALTERNATIVE","",""
"227","IEC-62353","ALTERNATIVE","",""
"228","IEC-62353","ALTERNATIVE","",""
"229","IEC-62353","ALTERNATIVE","",""
"230","IEC-62353","ALTERNATIVE","",""
"231","IEC-62353","ALTERNATIVE","",""
"232","IEC-62353","ALTERNATIVE","",""
"233","IEC-62353","ALTERNATIVE","",""
"234","IEC-62353","ALTERNATIVE","",""
"235","IEC-62353","ALTERNATIVE","",""
"236","IEC-62353","ALTERNATIVE","",""
"237","IEC-62353","ALTERNATIVE","",""
"238","IEC-62353","ALTERNATIVE","",""
"239","IEC-62353","ALTERNATIVE","",""
"240","IEC-62353","ALTERNATIVE","",""
"241","IEC-62353","ALTERNATIVE","",""
"242","IEC-62353","ALTERNATIVE","",""
"243","IEC-62353","ALTERNATIVE","",""
"244","IEC-62353","ALTERNATIVE","",""
"245","IEC-62353","ALTERNATIVE","",""
"246","IEC-62353","ALTERNATIVE","",""
"247","IEC-62353","ALTERNATIVE","",""
