"ValueID","PerfID","Perf_Value","Report_info_ID","ReportNo","ActiveStatus","CreatedDate"
"37","1","1,56,78,65,45,67,pass,","","","",""
"38","4","1,67,98,65,127,87,98,pass,","","","",""
"39","1","1,34,65,87,90,76,Pass,","","","",""
"40","4","1,434,76,87,90,56,87,Pass,","","","",""
"41","1","1,43,65,76,87,98,pass,","","","",""
"42","5","1,45,76,76,87,65,Pass,","","","",""
"43","3","1,43,54,65,76,87,87,87,87,87,89,87,87,pass,","","","",""
"44","5","15,54,76,87,87,66,pass,","","","",""
"45","3","1,43,54,76,87,87,90,54,67,89,65,67,76,pass,","","","",""
"46","5","1,56,76,54,65,54,pass,","","","",""
"47","7","1,54,76,76,56,45,43,54,65,","","","",""
"48","6","1,65,87,98,78,54,43,","","","",""
"49","4","1,87,98,76,56,87,98,pass,","","","",""
"50","2","1,65,87,98,09,76,56,54,65,54,","","","",""
"51","6","1,56,87,87,87,87,8,","","","",""
"52","5","1,34,65,76,87,87,pass,","","","",""
"53","6","1,76,98,98,65,67,pass,","","","",""
"54","3","1,32,54,65,76,78,76,87,87,87,87,8,67,pass,","","","",""
"55","4","1,43,65,76,87,56,54,pass,","","","",""
"56","4","2,54,65,78,54,65,45,pass,","","","",""
"57","4","1,43,65,76,87,87,98,pass,","","","",""
"58","4","1,67,987,6,5,35,76,pass,","","","",""
"59","4","1,43,65,76,86,86,89,pass,","","","",""
"60","4","1,565,86,86,8,68,97,fgfg,","","","",""
"61","2","1,32,65,76,87,65,67,87,87,Pass,","","","",""
"62","4","1,54,76,89,09,98,86,Pass,","","","",""
"63","7","1,43,56,76,87,98,90,87,pass,","","","",""
"64","6","1,76,98,56,54,65,pass,","","","",""
"65","4","1,56,87,78,56,78,98,pass,","","","",""
"66","6","1,6517,76,56,87,98,Pass,","","","",""
"67","4","1,78,67,56,56,45,65,pass,","","","",""
"68","4","1,76,87,66,66,77,87,pass,","","","",""
"69","4","2,67,87,87,98,98,87,pass,","","","",""
"70","6","1,76,676,87,65,76,pass,","","","",""
"71","6","2,76,76,55,45,45,pass,","","","",""
"72","4","1,76,87,56,76,78,65,pass,","70","","",""
"73","6","1,5,7,5,4,5,pass,","71","","",""
"74","4","1,87,98,54,34,65,65,pass,","71","","",""
"75","6","1,88,jhjh,hghg,dfdf,fgf,pass,","71","","",""
"76","3","1,32,43,54,65,76,78,65,76,87,89,09,78,pass,","71","","",""
"77","5","1,56,87,54,76,98,pass,","71","","",""
"78","4","1,45,76,87,89,76,67,pass,","72","","",""
"79","4","2,87,98,56,54,65,76,pass,","72","","",""
"80","1","1,65,78,98,98,87,pass,","73","","",""
"81","6","1,54,76,87,98,98,pass,","73","","",""
"82","4","1,32,65,89,87,55,54,pass,","74","","",""
"83","7","1,65,87,98,09,09,76,65,pass,","74","","",""
"84","3","1,43,56,76,867,09,76,54,56,87,87,87,87,pass,","74","","",""
"85","3","2,54,65,76,7,6,7,6,5,5,5,5,98,pass,","74","","",""
"86","3","1,3,4,5,6,6,7,7,8,8,8,8,9,Pass,","75","","",""
"87","1","1,55,55,66,77,44,pass,","76","","",""
"88","1","1,43,65,76,87,98,pass,","76","","",""
"89","1","1,43,65,87,54,65,Pass,","77","","",""
"90","1","1,45,76,87,89,65,Pass,","77","","",""
"91","5","1,54,65,76,87,98,Pass,","78","","",""
"92","4","1,34,65,67,54,54,65,pass,","79","","",""
"93","4","1,76,76,43,87,09,54,pass,","81","","",""
"94","4","2,87,54,34,76,87,45,Pass,","81","","",""
"95","4","1,65,876,45,76,43,87,Pass,","81","","",""
"96","4","1,87,987,45,75,75,66,Pass,","81","","",""
"97","5","1,545,76,54,76,86,Pass,","81","","",""
"98","6","1,65,87,97,65,78,Pass,","81","","",""
"99","5","1,65,76,98,98,65,Pass,","81","","",""
"100","6","1,65,87,43,56,87,Pass,","81","","",""
"101","2","1,43,65,76,87,54,65,64,6,Pasas,","82","","",""
"102","7","1,65,76,43,56,87,98,98,Pass,","83","","",""
"103","9","1,50,49.2,.8,+/- 5 %,Pass","84","","",""
"104","9","2,100,98.3,1.7,+/- 5 %,Pass","84","","",""
"105","9","3,150,147.5,2.5,+/- 5 %,Pass","84","","",""
"106","9","4,200,201.2,1.2,+/- 5 %,Pass","84","","",""
"107","4","1,20,23,76,5,6,4,9,6,7,6,Pass","85","","",""
"108","4","2,30,3,4,5,6,7,8,9,6,9,Pass","85","","",""
"109","4","3,50,1,2,3,7,4,8,9,6,5,Pass","85","","",""
"110","1","1,Heart Rate,60,59,-1,+/- 2 BPM,Pass","86","","",""
"111","1","2,Heart Rate,120,120,0,+/- 2 BPM,Pass","86","","",""
"112","1","3,Heart Rate,40,39,-1,+/- 2 BPM,Pass","86","","",""
"113","11","1,Breath rate (IE),1,6,8,9,Pass","87","","",""
"114","11","2,I:E Ratio (IE),2,6,7,8,Pass","87","","",""
"115","11","3,Tidal Volume (TVe) in ml,6,7,7,9,Pass","87","","",""
"116","11","4,Minute volume (MVe) in ml,3,4,6,9,Pass","87","","",""
"117","11","5,Positive End Expiratory Pressure in cm H2O,7,8,7,6,Pass","87","","",""
"118","11","6,PEP IN PRESURE CONTROL MODE,4,8,7,6,Pass","87","","",""
"119","11","1,Breath rate (IE),15,1,6,±2%,Pass","88","","",""
"120","11","2,I:E Ratio (IE),1:2,6,4,±2%,Pass","88","","",""
"121","11","3,Tidal Volume (TVe) in ml,400,8,9,±5%,Pass","88","","",""
"122","11","4,Minute volume (MVe) in ml,5,4,9,±5%,Pass","88","","",""
"123","11","5,Positive End Expiratory Pressure in cm H2O,6,8,7,± 2 cm H2O,Pass","88","","",""
"124","11","6,PIP IN PRESURE CONTROL MODE,20,2,5,± 2 cm H2O,Pass","88","","",""
"125","2","1,95,75,1,1,11,11,±2,±2,Pass","89","","",""
"126","2","2,90,65,2,2,2,4,±2,±2,Pass","89","","",""
"127","2","3,80,60,6,4,7,8,±2,±2,Pass","89","","",""
"128","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","89","","",""
"129","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","89","","",""
"130","8","Coagulation,100,100,11,21,21,Pass","90","","",""
"131","8","Coagulation,75,100,11,21,22,Pass","90","","",""
"132","8","Coagulation,50,100,11,21,23,Pass","90","","",""
