"ProductID","ProductName","Company","Model","Device_Type","Device_Classification","Supply","PowerRating","PerfID","Tracibility_ID","Remarks","ActiveStatus","CreatedDate"
"12","MULTIPARAMONITOR","L&T","PLANET 50N","TYPE BF","CLASS I","220-230","60 WATTS","1,2,3,","130,1131,1130,","a	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards@
c	Various parameters of the DUT were verified and found to be within the specified limits. @
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause  7.0 Accommodation and environmental Conditions sub@
	Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3@
 Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than @1 volt. This shall be periodically checked and stray coupling minimized.@
","",""
"13","PULSE OXIMETER","GE","TRUSAT","TYPE BF","CLASS II","220-230","40WATTS","2,","130,1130,","a	This report is applicable to the sample tested only. @ 
b	The instruments used for testing are under valid calibration and are traceable to National Standards. @
c	Various parameters of the DUT were verified and found to be within the specified limits. @ 
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause 7.0 Accommodation and environmental Conditions sub
Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3
Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @
Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than 
1 volt. This shall be periodically checked and stray coupling minimized. @","",""
"14","INFUSION PUMP","B BRAUN","INFUSOMAT P","TYPE BF","CLASS II","220-230","40 WATTS","4,","130,121,","a.	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards. @
c	Deviations in the set values from the mean values are shown in the above table @
d	Performance of the DUT were verified and found to be within the specified limits. @
e	Syringe Type :  BD 50 ml with ± 2% Accuracy was used. @
f	Test Liquid :  Distilled water “ Grade 3” was used. @
","",""
"15","DEFIBRILLATOR","BPL","DF 2509","TYPE BF","CLASS II","220-230","300 WATTS","1,9,15,","1132,130,","a	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards@
c	Various parameters of the DUT were verified and found to be within the specified limits. @
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause  7.0 Accommodation and environmental Conditions sub@
	Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3@
 Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than @1 volt. This shall be periodically checked and stray coupling minimized.@
","",""
"16","SYRINGE PUMP","B BRAUN","PERFUSOR COMPACT","TYPE CF","CLASS I","220-230","40 WATTS","4,","130,121,","a.	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards. @
c	Deviations in the set values from the mean values are shown in the above table @
d	Performance of the DUT were verified and found to be within the specified limits. @
e	Syringe Type :  BD 50 ml with ± 2% Accuracy was used. @
f	Test Liquid :  Distilled water “ Grade 3” was used. @
","",""
"17","DEFIBRILLATOR","MEDTRONIC","LIFEPACK 20","TYPE BF","CLASS II","220-230","300WATTS","1,9,15,","1132,130,","a	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards@
c	Various parameters of the DUT were verified and found to be within the specified limits. @
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause  7.0 Accommodation and environmental Conditions sub@
	Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3@
 Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than @1 volt. This shall be periodically checked and stray coupling minimized.@
","",""
"18","DEFIBRILLATOR","ZOLL","M SERIES BIPHASE","TYPE CF","CLASS II","220-230","300WATTS","1,9,15,","1132,130,","a	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards@
c	Various parameters of the DUT were verified and found to be within the specified limits. @
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause  7.0 Accommodation and environmental Conditions sub@
	Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3@
 Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than @1 volt. This shall be periodically checked and stray coupling minimized.@
","",""
"20","MULTIPARAMONITOR","PHILIPS","SURESIGNS VM4","TYPE BF","CLASS I","220-230","60 WATTS","1,2,3,","130,1131,1130,","a	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards@
c	Various parameters of the DUT were verified and found to be within the specified limits. @
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause  7.0 Accommodation and environmental Conditions sub@
	Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3@
 Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than @1 volt. This shall be periodically checked and stray coupling minimized.@
","",""
"21","MULTIPARAMONITOR","PHILIPS","INTELLIVUE MP 5","TYPE BF","CLASS II","220-230 V","40 WATTS","1,2,3,","130,1131,1130,","a	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards@
c	Various parameters of the DUT were verified and found to be within the specified limits. @
d	Deviation in the set values from the actual values are shown in the report. @
e	Refer NABL Doc no.121 Clause  7.0 Accommodation and environmental Conditions sub@
	Clause See 7.2.11 below in line with ISO/IEC17025:2005 Clause 5.3@
 Clause 7.2.11 Effective earthing shall be provided for mains in accordance with relevant specifications IS 3043. @Laboratories are required to maintain earth resistance to less than 1 ohm and earth to Neutral Voltage to less than @1 volt. This shall be periodically checked and stray coupling minimized.@
","",""
"22","SYRINGE PUMP","FRESENIUIS KABI","INJECTOMAT AGILIA","TYPE CF","CLASS I","220-230","40 WATTS","4,","130,121,","a.	This report is applicable to the sample tested only. @
b	The instruments used for testing are under valid calibration and are traceable to National Standards. @
c	Deviations in the set values from the mean values are shown in the above table @
d	Performance of the DUT were verified and found to be within the specified limits. @
e	Syringe Type :  BD 50 ml with ± 2% Accuracy was used. @
f	Test Liquid :  Distilled water “ Grade 3” was used. @
","",""
