"Tracibility_ID","Instrument","Make","Model","Serial_No","Traceability_call_due","Reference","ActiveStatus","CreatedDate"
"87","ELECTRICAL SAFETY ANALYSER","FLUKE","ESA615","2244039","16/1/2015","ANNEXURE 1","",""
"88","DEFIBRILATOR ANALYSER","FLUKE","IMPULSE 6000D","2568030","13/1/2015","ANNEXURE 2","",""
"89","TRUE RMS DIGITAL MULTIMETER WITH TYPE K INTEGRATED PROBE","FLUKE","17 B","24410335","21/7/2015","ANNEXURE 3","",""
"90","VITAL SIGN STIMULATOR PROSIM 3(NEW)","FLUKE","PROSIM 3","2577005","29/1/2016","ANNEXURE 4","",""
"91","VITAL SIGN STIMULATOR PROSIM 4(NEW)","FLUKE","PROSIM 4","2568018","14/1/2016","ANNEXURE 5","",""
"92","ELECTROSURGICAL ANALYSER(NEW)","FLUKE","RF 303","2569061","29/1/2016","ANNEXURE 7","",""
"93","GAS FLOW ANALYSER","FLUKE","VT MOBILE","2572019","20/1/2015","ANNEXURE 8","",""
"94","INFUSION DEVICE ANALYSER","FLUKE","IDA 5","2711047","10/3/2015","ANNEXURE 10","",""
"95","PHOTO CONTACT TACHOMETER","EQUINOX","EQ-801B","S030955","09/1/2015","ANNEXURE 11","",""
"97","STANDARD WEIGHTS F1 CLASS","WEIGH INDIA","WEIGH INDIA","WE123","4/10/2015","ANNEXURE 13","",""
"98","DIGITAL PRESSURE GUAGE","EQINOX","PG-810C-A","2013012016","29/5/2015","ANNEXURE 14","",""
"99","LUX METER","HTC","HTC","2102950","13/10/2015","ANNEXURE 15","",""
"100","PRECISION WEIGHTS","PRECISION","PRECISION","PW123","18/10/2015","ANNEXURE 16","",""
"101","THERMO ANEMOMETER","EQINOX","EQ-618B","130905432","9/1/2015","ANNEXURE 17","",""
"102","SPO2 STIMULATOR(NEW)","FLUKE","SPOT LIGHT","2568011","29/1/2016","ANNEXURE 6","",""
"103","OSCILLOSCOPE","TEKTRONIX","TBS1072B","C011116","18/9/2016","ANNEXURE 18","",""
"105","ELECTRICAL SAFETY ANALYSER(NEW)","FLUKE","ESA615","2244039","28/1/2016","ANNEXURE 1","",""
"106","DEFIBRILATOR ANALYSER(NEW)","FLUKE","IMPULSE 6000D","2568030","28/1/2016","ANNEXURE 2","",""
"107","VITAL SIGN STIMULATOR PROSIM 3","FLUKE","PROSIM 3","2577005","25/1/2015","ANNEXURE 4","",""
"108","VITAL SIGN STIMULATOR PROSIM 4","FLUKE","PROSIM 4","2568018","25/1/2015","ANNEXURE 5","",""
"109","ELECTRO SURGICAL ANALYSER","FLUKE","RF 303","2569061","18/1/2015","ANNEXURE 7","",""
