"splitid","ValueID","PerfID","ReportNo","ActiveStatus","CreatedDate"
"13076","9186","5","BMT/984","",""
"13077","9185","5","BMT/984","",""
"13078","9184","5","BMT/984","",""
"13085","9187","7","BMT/2268","",""
"13086","9188","7","BMT/2268","",""
"13087","9189","7","BMT/2268","",""
"13088","9190","7","BMT/2268","",""
"13089","9191","7","BMT/2268","",""
"13090","9192","7","BMT/2268","",""
"13094","9201","7","BMT/2271","",""
"13095","9200","7","BMT/2271","",""
"13096","9199","7","BMT/2271","",""
"13097","9203","39","BMT/2271","",""
"13098","9202","39","BMT/2271","",""
"13099","9201","39","BMT/2271","",""
"13100","9205","40","BMT/2271","",""
"13101","9204","40","BMT/2271","",""
"13102","9203","40","BMT/2271","",""
"13112","9215","7","BMT/2275","",""
"13113","9214","7","BMT/2275","",""
"13114","9213","7","BMT/2275","",""
"13115","9217","39","BMT/2275","",""
"13116","9216","39","BMT/2275","",""
"13117","9215","39","BMT/2275","",""
"13118","9219","40","BMT/2275","",""
"13119","9218","40","BMT/2275","",""
"13120","9217","40","BMT/2275","",""
"13121","9221","21","BMT/991","",""
"13122","9220","21","BMT/991","",""
"13123","9222","22","BMT/991","",""
"13124","9224","21","BMT/992","",""
"13125","9223","21","BMT/992","",""
"13126","9225","22","BMT/992","",""
"13127","9228","4","BMT/2276","",""
"13128","9227","4","BMT/2276","",""
"13129","9226","4","BMT/2276","",""
"13130","9231","4","BMT/2276","",""
"13131","9230","4","BMT/2276","",""
"13132","9229","4","BMT/2276","",""
"13133","9234","5","BMT/993","",""
"13134","9233","5","BMT/993","",""
"13135","9232","5","BMT/993","",""
"13136","9237","4","BMT/2277","",""
"13137","9236","4","BMT/2277","",""
"13138","9235","4","BMT/2277","",""
"13139","9240","4","BMT/2277","",""
"13140","9239","4","BMT/2277","",""
"13141","9238","4","BMT/2277","",""
"13142","9243","4","BMT/2277","",""
"13143","9242","4","BMT/2277","",""
"13144","9241","4","BMT/2277","",""
"13151","9252","5","BMT/998","",""
"13152","9251","5","BMT/998","",""
"13153","9250","5","BMT/998","",""
"13154","9255","4","BMT/2279","",""
"13155","9254","4","BMT/2279","",""
"13156","9253","4","BMT/2279","",""
"13157","9258","4","BMT/2279","",""
"13158","9257","4","BMT/2279","",""
"13159","9256","4","BMT/2279","",""
"13160","9264","24","BMT/2917","",""
"13161","9263","24","BMT/2917","",""
"13162","9262","24","BMT/2917","",""
"13163","9261","24","BMT/2917","",""
"13164","9260","24","BMT/2917","",""
"13165","9259","24","BMT/2917","",""
"13169","9270","4","BMT/2281","",""
"13170","9269","4","BMT/2281","",""
"13171","9268","4","BMT/2281","",""
"13177","9278","4","BMT/2282","",""
"13178","9277","4","BMT/2282","",""
"13179","9276","4","BMT/2282","",""
"13221","9311","1","BMT/2286","",""
"13222","9310","1","BMT/2286","",""
"13223","9309","1","BMT/2286","",""
"13224","9314","2","BMT/2286","",""
"13225","9313","2","BMT/2286","",""
"13226","9312","2","BMT/2286","",""
"13227","9316","3","BMT/2286","",""
"13228","9315","3","BMT/2286","",""
"13229","9319","1","BMT/2287","",""
"13230","9318","1","BMT/2287","",""
"13231","9317","1","BMT/2287","",""
"13232","9322","2","BMT/2287","",""
"13233","9321","2","BMT/2287","",""
"13234","9320","2","BMT/2287","",""
"13235","9324","3","BMT/2287","",""
"13236","9323","3","BMT/2287","",""
"13237","9327","4","BMT/2927","",""
"13238","9326","4","BMT/2927","",""
"13239","9325","4","BMT/2927","",""
"13240","9330","1","BMT/2288","",""
"13241","9329","1","BMT/2288","",""
"13242","9328","1","BMT/2288","",""
"13243","9333","2","BMT/2288","",""
"13244","9332","2","BMT/2288","",""
"13245","9331","2","BMT/2288","",""
"13246","9336","4","BMT/2928","",""
"13247","9335","4","BMT/2928","",""
"13248","9334","4","BMT/2928","",""
"13249","9338","3","BMT/2288","",""
"13250","9337","3","BMT/2288","",""
"13251","9340","21","BMT/2929","",""
"13252","9339","21","BMT/2929","",""
"13253","9341","22","BMT/2929","",""
"13274","9363","3","BMT/2290","",""
"13275","9362","3","BMT/2290","",""
"13276","9373","13","BMT/3002","",""
"13277","9372","13","BMT/3002","",""
"13278","9371","13","BMT/3002","",""
"13279","9370","13","BMT/3002","",""
"13280","9369","13","BMT/3002","",""
"13281","9368","13","BMT/3002","",""
"13282","9367","13","BMT/3002","",""
"13283","9366","13","BMT/3002","",""
"13284","9365","13","BMT/3002","",""
"13285","9364","13","BMT/3002","",""
"13289","9379","2","BMT/2291","",""
"13290","9378","2","BMT/2291","",""
"13291","9377","2","BMT/2291","",""
"13292","9381","3","BMT/2291","",""
"13293","9380","3","BMT/2291","",""
"13443","9528","3","BMT/2295","",""
"13444","9527","3","BMT/2295","",""
"13454","9540","1","BMT/2297","",""
"13455","9539","1","BMT/2297","",""
"13456","9538","1","BMT/2297","",""
"13457","9543","2","BMT/2297","",""
"13458","9542","2","BMT/2297","",""
"13459","9541","2","BMT/2297","",""
"13460","9545","3","BMT/2297","",""
"13461","9544","3","BMT/2297","",""
"13462","9547","3","BMT/2297","",""
"13463","9546","3","BMT/2297","",""
"13464","9550","1","BMT/2298","",""
"13465","9549","1","BMT/2298","",""
"13466","9548","1","BMT/2298","",""
"13467","9553","2","BMT/2298","",""
"13468","9552","2","BMT/2298","",""
"13469","9551","2","BMT/2298","",""
"13470","9555","3","BMT/2298","",""
"13471","9554","3","BMT/2298","",""
"13472","9558","1","BMT/2299","",""
"13473","9557","1","BMT/2299","",""
"13474","9556","1","BMT/2299","",""
"13475","9561","2","BMT/2299","",""
"13476","9560","2","BMT/2299","",""
"13477","9559","2","BMT/2299","",""
"13478","9563","3","BMT/2299","",""
"13479","9562","3","BMT/2299","",""
"13512","9597","3","BMT/2303","",""
"13513","9596","3","BMT/2303","",""
"13514","9599","3","BMT/2303","",""
"13515","9598","3","BMT/2303","",""
"13516","9601","3","BMT/2303","",""
"13517","9600","3","BMT/2303","",""
"13518","9603","3","BMT/2303","",""
"13519","9602","3","BMT/2303","",""
"13520","9605","3","BMT/2303","",""
"13521","9604","3","BMT/2303","",""
"13522","9607","3","BMT/2303","",""
"13523","9606","3","BMT/2303","",""
"13527","9613","2","BMT/2304","",""
"13528","9612","2","BMT/2304","",""
"13529","9611","2","BMT/2304","",""
"13530","9615","3","BMT/2304","",""
"13531","9614","3","BMT/2304","",""
"13532","9618","1","BMT/2305","",""
"13533","9617","1","BMT/2305","",""
"13534","9616","1","BMT/2305","",""
